date,startup,vertical,subvertical,city,investors,round,amount
2018-12-01,razorpay,Technology,Payment Gateway,Bengaluru,"tiger global, y combinator",Private Equity,184.0
2018-01-15,streak,Technology,Algorithmic Trading,Bengaluru,"indian fintech fund, rainmatter",Angel / Seed Funding,3.26232
2018-01-15,pi ventures,Finance,Venture Capital,Bengaluru,"sunil kant munjal, hero electronix's corporate financing arm, electronic development fund",Private Equity,230.0
2018-01-15,newgen software,Technology,IT,New Delhi,"goldman sachs, hedge fund & others",Private Equity,184.0
2018-01-17,rubix,Technology,Education,Pune,polaris fund,Private Equity,9.2
2018-01-18,sharechat,Technology,Social,Bengaluru,"xiaomi singapore, shunwei capital",Private Equity,167.44
2018-01-22,paperflite,Technology,IT,Chennai,the chennai angels,Angel / Seed Funding,3.68
2018-01-22,hungerbox,Consumer Internet,Food and Beverages,Bengaluru,lionrock capital,Private Equity,23.0
2018-01-22,skillate,Technology,Artificial Intellegence,Bengaluru,"incubate fund india, anuj agrawal",Private Equity,0.0
2018-01-22,optacredit,Finance,Alternative Lending,Chennai,dmi finance,Private Equity,36.8
2018-01-22,aeon learning,Technology,Education,Bengaluru,dr. ranjan pai,Private Equity,29.44
2018-01-23,milkbasket,E-commerce,Online Grocery,Gurugram,unilever ventures,Private Equity,27.6
2018-01-24,neogrowth credit,Finance,Digital Lending,Mumbai,"leapfrog investments, aspada investment, quona capital",Private Equity,432.4
2018-01-24,rao iit academy,Education,Coaching Services,Mumbai,avendus finance,Structured Debt,79.12
2018-01-24,aye finance,Finance,Online Lending,Gurugram,ifmr capital,Term Loan,57.408
2018-01-25,glassic,Ecommerce,Eyewear,Bengaluru,"chennai angels, lead angels, letsventure",Angel / Seed Funding,0.0
2018-01-25,greyatom,Technology,Education,Mumbai,pravega ventures,Private Equity,9.2
2018-01-26,axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,rnt capital,Private Equity,68.08
2018-01-29,ekincare,Healthcare,Technology,Hyderabad,"ventureast, endiya partners, eight roads ventures, touchstone equities, bvr mohan reddy",Private Equity,13.8
2018-01-29,the wedding brigade,Consumer internet,Online Services,Mumbai,blume ventures,Private Equity,9.2
2018-01-30,peesafe,Healthcare,Hygiene,Gurugram,"shivani singh, rahul maroli, mitesh shah, venture catalysts, alfa capital, green shots capital, real time ventures.",Private Equity,9.2
2018-01-30,browserstack,Technology,Browser Testing,Mumbai,accel partners,Private Equity,460.0
2018-01-30,scapic,Technology,Virtual Reality,Bengaluru,"axilor ventures, newfort capital",Angel / Seed Funding,4.6
2018-01-30,moneyonmobile,Technology,Mobile Payment Platform,Mumbai,undisclosed investors,Private Equity,69.92
2018-01-30,curefit,Healthcare,Fitness,Bengaluru,"hdfc bank, axis bank",Debt Funding,92.0
2018-01-31,inurture,Technology,Education Solutions,Bengaluru,ventureast,Private Equity,40.48
2017-01-12,strata enviro,Technology,IoT based air pollution controller,Mumbai,scale minds,Private Equity,0.0
2017-05-12,dunzo,Technology,Daily Task Management Mobile App,Bengaluru,google,Private Equity,113.16
2017-05-12,tata housing,Real Estate,Residential Project,Mumbai,hines,Private Equity,211.6
2017-05-12,handytrain,Technology,Mobile Learning Management Platform,Goa,nb ventures,Private Equity,9.2
2017-05-12,mobycy,Technology,Bicycle sharing Platform,Gurugram,undisclosed investors,Seed/Angel Funding,4.6
2017-06-12,greenlight planet,Technology,Off-grid solar products platform,Mumbai,"apis partner, eight roads ventures, bamboo capital partners",Private Equity,552.0
2017-06-12,fintobox,Technology,Child Learning & Development Platform,Chennai,lightbox,Private Equity,64.4
2017-07-12,mswipe,Technology,Mobile point of sale services provider,Mumbai,eduardo saverin,Private Equity,92.0
2017-07-12,the label life,E-Commerce,Home Decor and Online Fashion Portal,Mumbai,kalpvriksh,Private Equity,28.52
2017-07-12,cygnus hospitals,Healthcare,Super speciality Hospitals,Gurugram,somerset indus capital ventures,Seed/Angel Funding,6.9
2017-07-12,eshakti,Ecommerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,idg ventures,Debt Funding,21.16
2017-08-12,inshorts,Technology,Mobile News Curation App,Noida,tiger global,Private Equity,46.0
2017-11-12,vahdam tea,E-Commerce,Online Platform Selling Indian Tea Globally,New Delhi,"singapore angel network, mumbai angel",Private Equity,13.8
2017-11-12,logic roots,Technology,Educational Platform to Learn Mathematics,Mumbai,village capital,Seed/Angel Funding,0.46
2017-11-12,project mudra,Technology,Assisting Visually Impaired to learn through Braille,Bengaluru,village capital,Seed/Angel Funding,0.46
2017-11-12,furlenco,Technology,Furniture Rental Platform,Bengaluru,aamir khan,Debt Funding,11.04
2017-12-12,i can stay,Technology,Hotel Aggregator Platform,New Delhi,ht media,Private Equity,16.56
2017-12-12,fracktal works,Technology,Platform based on 3D printing and Digital Manufacturing,Bengaluru,hyderabad angels,Seed/Angel Funding,0.0
2017-12-12,simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,accel partners,Private Equity,161.0
2017-12-12,shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,Gurugram,munesh khanna,Seed/Angel Funding,2.1436
2017-12-13,mindtickle,Technology,Gamification Platform to train Sales People,Pune,canaan partners,Private Equity,248.4
2017-12-13,nazara technologies,Technology,Mobile Games Development Firm,Mumbai,rakesh jhunjhunwala,Private Equity,248.4
2017-12-13,docsapp,Technology,Mobile Application for Doctor Consultation,Bengaluru,bessemer venture partners,Private Equity,66.24
2017-12-13,capita world,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,"mohan tanksale, kiran shetty, darshak shah, mandar mhatre",Private Equity,0.0
2017-12-14,tea box,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,Bengaluru,rb investments,Private Equity,64.4
2017-12-14,transversal technologies,Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,matrix partners,Private Equity,55.2
2017-12-14,curofy,Technology,Mobile App for Network of Doctors,Gurugram,roundglass partners llc,Seed/Angel Funding,2.3
2017-12-14,homelane,E-Commerce,Online Furniture Marketplace,Bengaluru,"accel partners, sequoia capital, rb investments",Private Equity,92.0
2017-12-14,wedosky,Technology,Provides Business Insights using Drone Imaginary,New Delhi,mumbai angels network,Private Equity,0.0
2017-12-15,purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,"mountain pain capital, suncoast investments",Seed/Angel Funding,4.9404
2017-12-15,cash suvidha,E-Commerce,Online Micro-Lending Platform,New Delhi,undisclosed,Debt Funding,24.84
2017-12-18,sky met weather,Technology,Weather Forecast Platform,Noida,insuresillience investment fund,Private Equity,0.0
2017-12-19,springboard,Technology,Online Courses and Mentoring from Experts,Bengaluru,"costanoa, learn capital, jyoti bansal",Private Equity,87.4
2017-12-19,peel works,Technology,SaaS based Big Data Analytics Platform,Mumbai,unilever ventures,Private Equity,0.0
2017-12-19,9stacks,Technology,Online Poker Platform,New Delhi,"swati gupta, purnima khandelwal, maheshwar peri, sanjay singh",Private Equity,13.8
2017-12-20,your quote,Technology,Vernacular and Video Content Platform,Bengaluru,"axilor ventures, e-city ventures atul goel",Private Equity,9.2
2017-12-20,spandana sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"""kedaraa capital, ontario teachers\\'""",Private Equity,179.4
2017-12-21,indus os,Technology,Regional Operating System for Smartphones,Mumbai,omidyar network,Private Equity,36.8
2017-12-21,easyecom,E-Commerce,Ecommerce enabler platform,Bengaluru,"ambarish gupta, aneesh reddy, bold ventures, vona investments",Seed/Angel Funding,1.38
2017-12-21,igp,E-Commerce,Online Gifting Platform,Uttar Pradesh,venture catalysts,Private Equity,0.0
2017-12-26,specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,eight roads ventures india,Private Equity,92.0
2017-12-27,garage on road,E-Commerce,Online vehicle service booking platform,Noida,gaurav gupta,Private Equity,0.0
2017-12-27,foyr,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,jones lang lasalle,Private Equity,34.96
2017-02-11,prest loans,Finance,Business & SME Loans provider,New Delhi,"manish poddar, arun garg, parmeshwar sharma",Seed Funding,5.244
2017-02-11,aadharapi,Technology,Aadhaar-based API provider,Pune,cio angel network,Seed Funding,0.0
2017-02-11,freshboxx,ECommerce,Online Grocery Store,Bengaluru,jayant humbarwadi,Seed Funding,0.0
2017-03-11,vagupu,Technology,Online Tutorial Marketplace,Bengaluru,undisclosed investors,Seed Funding,9.2
2017-03-11,halaplay,Consumer Internet,Online Fantasy Games,Mumbai,"kae capital management, nazara technologies",Seed Funding,0.0
2017-03-11,kalpnik technologies,Technology,VR based Spiritual platform,Bengaluru,venture catalysts,Seed Funding,4.6
2017-04-11,hevo data,Technology,Real time data analytics & reporting,Bengaluru,idg ventures india,Private Equity,9.2
2017-06-11,smart karma,Technology,Financial Technology Research Platform,Bengaluru,idg ventures india,Private Equity,0.0
2017-06-11,leverage edu,ECommerce,Online platform for Higher Education Services,New Delhi,"alok mittal, deepak jain, ritesh malik, jim schimdktke",Seed Funding,0.0
2017-07-11,crayon data,Technology,Customer Engagement Platform,New Delhi,infosys co-founder kris gopalakrishnan,Seed Funding,0.0
2017-07-11,doctalk,Technology,Doctor Patient Communication platform,Mumbai,"matrix partners india, khosla ventures",Private Equity,46.0
2017-07-11,coveiot,Technology,Wearable tech and Internet of Things platform,Bengaluru,"titan co ltd, tata group's watch and jewellery retailing firm",Private Equity,46.0
2017-08-11,talentedge,Technology,Distance Education Learning Platform,Bengaluru,lumis partners,Private Equity,69.92
2017-08-11,fisdom,Finance,Mutual Fund Investment App,Bengaluru,quona capital management,Private Equity,27.6
2017-08-11,farmlink,eCommerce,Online platform for Agricultural products,Mumbai,"pioneering ventures, syngenta ag",Private Equity,27.6
2017-08-11,openapp,Technology,IoT based Tech Startup,Bengaluru,"axilor ventures, kumar vembu",Private Equity,33.12
2017-09-11,nopaperforms,Technology,Enrolment Management Platform,New Delhi,info edge,Seed Funding,8.0224
2017-09-11,tilite technologies pvt. ltd,Technology,Saas based Corporate Travel Management Solution,Bengaluru,matrix partners,Seed Funding,0.0
2017-09-11,mobiliz ar,Technology,Augmented Reality based Tech platform,Bengaluru,"idg ventures, idfc-parampara fund",Private Equity,0.0
2017-10-11,qubole,Technology,Big Data based analytics platform,Bengaluru,"singtel, innov8, harmony partners",Private Equity,230.0
2017-10-11,happily unmarried,ECommerce,Online Gifting platform,Nw Delhi,wipro consumer care,Private Equity,0.0
2017-11-13,universal sportsbiz pvt. ltd,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,accel partners,PrivateEquity,138.0
2017-11-14,hungry foal,Ecommerce,Healthy & Nutrition based snacks online platform,Gurugram,gail india ltd,Seed Funding,0.0
2017-11-14,active ai,Technology,AI based FinTech platform,Bengaluru,vertex ventures,Private Equity,75.9
2017-11-15,sumeru,Technology,Banking Software License Platform,Bengaluru,undisclosed investors,Seed Funding,8.28
2017-11-15,elderaid wellness,Health Care,Social Healthcare Enterprise,Bengaluru,rugmini menon,Angel Funding,0.0
2017-11-15,omnia information,Technology,WiFi Analytics Platform,New Delhi,omidyar network,Private Equity,27.6
2017-11-15,josh talks,Inspiration,Storytelling platform,Gurugram,"girish mathrubootham, apurva chamaria, rohit chanana",Private Equity,0.0
2017-11-15,reniso,Technology,End-to-End property management for landlords living away,New Delhi,"nishit sharma, alok srivastava",Seed Funding,0.0
2017-11-17,kanhaiya,Inspiration,Storytelling platform,Hyderabad,undisclosed investors,Seed/Angel Funding,1.84
2017-11-17,perspectico,Technology,Placement preparation and career growth training platform,New Delhi,"sscbs innovation, incubation foundation (siif)",Seed/Angel Funding,0.0
2017-11-20,onn bikes,Technology,Self riding bike rental program,Mumbai,z nation lab,Seed/Angel Funding,6.3664
2017-11-21,rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"skycatcher fund, aravind sanka",Seed/Angel Funding,3.028916
2017-11-21,heckyl,Technology,Big Data Analytics Platform,Mumbai,"notion capital, idg ventures",Private Equity,24.84
2017-11-21,nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1crowd,Seed/Angel Funding,3.68
2017-11-21,redbook,Technology,AI based pharmacy drugs insights platform,Mumbai,"vida ventures, dr. aniruddha malpani",Seed/Angel Funding,2.3
2017-11-21,portea,Healthcare,Healthcare facilities at doorstep,Bengaluru,"sabre partners, memg cdc",Private Equity,239.2
2017-11-21,credit mate,Technology,Vehicle loan approval platform,Mumbai,paytm,Private Equity,0.0
2017-11-21,epiq capital,Finance,Tech based investor firm,Mumbai,global institutional investors,Private Equity,1840.0
2017-11-22,mistay,Technology,Online Hotel Reservation Platform,Bengaluru,axilor ventures,Seed/Angel Funding,0.0
2017-11-23,wittyfeed,Storytelling,Viral Content and storytelling platform,Indore,sandeep aggarwal,Seed/Angel Funding,0.0
2017-11-24,idg ventures,Finance,Venture Capitalist,Bengaluru,uniliver ventures,Private Equity,92.0
2017-11-24,tempgo,Technology,IoT and SaaS based transportation platform,Goa,javelin startupo victory fund,Seed/Angel Funding,2.3
2017-11-27,edelweiss,Finance,Diversified Financial,Mumbai,undisclosed investors,Private Equity,2484.0
2017-11-27,era,Technology,Identity management platform,Mumbai,amit patni,Seed/Angel Funding,0.3588
2017-11-27,smaaash,Technology,Virtual Reality based gaming platform,Mumbai,sixth sense ventures,Private Equity,34.96
2017-11-28,chumbak,Lifestyle,Designer-led consumer products,Bengaluru,gaja capital,Private Equity,119.6
2017-11-28,fr8,Technology,Online Truck aggregator platform,Chennai,ifmr capital,Debt Funding,13.8
2017-11-28,mobiefit,Healthcare,Health and fitness based mobile App,Goa,"nb ventures, mediassist",Seed/Angel Funding,12.42
2017-11-28,stanza living,Technology,Student accommodation platform,New Delhi,"matrix partners, accel",Private Equity,18.4
2017-03-10,chqbook,Consumer Internet,Home Loans Aggregation platform,Gurugram,"startup buddy, apurva chamaria,sachin arora, bharat gupta, amit manocha",Seed Funding,0.0
2017-03-10,homecapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,venture catalysts,Seed Funding,0.0
2017-03-10,ola cabs,Consumer Internet,App based cab hailing services,Bengaluru,"tencent, softbank group",Private Equity,1012.0
2017-04-10,elanic,Consumer Internet,P2P platform for Fashion sales,Bengaluru,digital garage,Seed Funding,0.0
2017-04-10,collpoll,Consumer Internet,Education collaboration platform,Bengaluru,sprout angels,Seed Funding,2.8152
2017-04-10,phonepe,Consumer Internet,Digital Wallet,Bengaluru,flipkart,Private Equity,356.04
2017-05-10,little black book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"blume ventures, idg ventures & indian angel network",Private Equity,9.2
2017-05-10,oorjan,Technology,rooftop solar platform,Mumbai,globevestor,Seed Funding,4.14
2017-05-10,zefo,ECommerce,Ecommerce Portal for Used Goods,Bengaluru,"sequoia india, helion venture partners, beenext",Private Equity,84.64
2017-06-10,yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,carpediem capital,Private Equity,28.52
2017-06-10,farm taaza,Technology,Fresh Produce SCM company,Bengaluru,"epsilon venture partners, tara india fund iv and others",Private Equity,73.6
2017-06-10,drivezy,Consumer Internet,Self Drive car and bike rental platform,Bengaluru,"das capital, axan partners, das capital and it farm",Private Equity,92.0
2017-06-10,slice pay,Consumer Internet,Student Micro-financing platform,Bengaluru,"das capital, simile ventures",Private Equity,18.4
2017-09-10,agrowave,Technology,Agriculture Supply Chain management solutions,Gurugram,daffodil software,Seed Funding,0.0
2017-09-10,mygubbi,eCommerce,Home Interior Designing Seller,Bengaluru,"firoze irani, vipul parekh, ananda kallugadde, rajesh k murthy",Private Equity,24.84
2017-09-10,ibsfintech,Technology,Treasury Risk Management Solution,Bengaluru,shailesh haribhakti,Seed Funding,0.0
2017-09-10,letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bengaluru,aequs group,Private Equity,0.0
2017-09-10,onestepup,Technology,Education Technology platform,New Delhi,orient blackswan,Seed Funding,3.0912
2017-09-10,thirdwatch,Technology,AI-powered anti-fraud solutions,Gurugram,"rahul agarwalla, keshav sanghi, batlivala & karani securities",Seed Funding,0.0
2017-10-10,parallel dots,Technology,AI-powered deep learning solutions,Gurugram,"multipoint capital,",Private Equity,12.88
2017-10-10,easy diner,Consumer Internet,online restaurant reservation platform,Gurugram,saama capital and dsg consumer partners,Private Equity,41.4
2017-11-10,meesho,ECommerce,Online Reseller Network,Bengaluru,"saif partners, ycombinator, venture highway",Private Equity,28.52
2017-11-10,stanplus,Logistics,Medical Transportation Services,Hyderabad,kstart capital,Private Equity,10.12
2017-12-10,uclid,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,undisclosed investors,Seed Funding,2.162
2017-10-13,policy bazaar,Consumer Internet,Online insurance policy aggregator,Gurugram,"wellington management, dg ventures india, true north",Private Equity,708.4
2017-10-13,gapoon,Consumer Internet,home maintenance services platform,Bengaluru,"vida ventures, snehal mantri, anshu bahadur",Seed Funding,2.3
2017-10-13,chaayos,eCommerce,Online Chai ordering platform,Gurugram,tiger global management,Private Equity,18.4
2017-10-16,krazybee,Consumer Internet,Micro-lending platform,Bengaluru,"xiaomi technologies, shunwei capital",Private Equity,73.6
2017-10-16,renew buy,Consumer Internet,Online Insurance Aggregator,New Delhi,amicus capital,Private Equity,84.64
2017-10-17,fingerlix,Consumer Internet,Food Ordering Portal,Bengaluru,"accel partners, zephyr peacock",Private Equity,64.4
2017-10-18,bank bazaar,Consumer Internet,Online Financial Marketplace,Chennai,experian,Private Equity,64.4
2017-10-18,hasura,Technology,App building platform,Chennai,"nexus, gree ventures",Private Equity,0.0
2017-10-18,blackbuck,Logistics,B2B Logistics provider,Bengaluru,innoven capital,Private Equity,70.84
2017-10-18,lenden club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,undisclosed investor,Seed Funding,4.6
2017-10-23,toppr,Consumer Internet,Mobile based learning app,Mumbai,"saif partners, helion ventures, fil capital management",Private Equity,64.4
2017-10-23,raw pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"dsg consumer partners, sequoia capital, saama capital",Private Equity,55.2
2017-10-23,cashe,Consumer Internet,app-only lending platform,Mumbai,ifmr capital,Debt Funding,28.52
2017-10-23,park easy,Consumer Internet,Machine learning based parking discovery,Kolkata,rockstart accelerator,Seed Funding,1.0856
2017-10-24,tagbox,Technology,Cold Chain monitoring solution,Bengaluru,"indian angel network, ian fund",Seed Funding,0.0
2017-10-24,fyre,Food & Beverage,Herbal energy shot maker,Mumbai,venture catalysts,Seed Funding,4.6
2017-10-24,ziploan,Consumer Internet,SME lending platform,New Delhi,"matrix partners india, waterbridge ventures, whiteboard capital, sarbvir singh",Private Equity,27.6
2017-10-24,skillenza,Consumer Internet,Online Learning Platform,Bengaluru,"blume ventures, indian angel network",Seed Funding,6.6424
2017-10-24,chevon,Food & Beverage,Frozen Meat provider,Mumbai,greenfield advisory,Private Equity,0.0
2017-10-25,propstory,Consumer Internet,Real Estate content portal,Gurugram,"abhishek bhatewara, vivek shah, haitong securities, suraj saharan, paras arora",Seed Funding,0.0
2017-10-25,spotdraft,Consumer Internet,Contract Automation,Gurugram,"hunch ventures, spiral ventures, 500 startups, singapore angel network, citrus payments",Seed Funding,5.06
2017-10-26,big basket,eCommerce,Online Grocery portal,Bengaluru,helion ventures partners,Private Equity,46.0
2017-10-27,ofbusiness,Technology,B2B Finance & Fulfilment Network,Gurugram,kotak mahindra bank,Debt Funding,34.96
2017-10-27,olly credit,Technology,Credit + payment mobile app,New Delhi,"incubate fund, sandesh kirkire, anand kumar, yogesh chaudhary",Seed Funding,0.0
2017-10-28,cashfree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,y combinator,Seed Funding,1.104
2017-10-28,ola cabs,Consumer Internet,App based cab hailing services,Bengaluru,ani technologies pvt. ltd,Private Equity,70.84
2017-10-30,goldfarm,Food & Beverage,Agriculture Technology,Coimbatore,mahindra & mahindra and infuse ventures,Private Equity,18.4
2017-10-31,netmeds,ECommerce,Online Pharmacy,Chennai,tanncam investment & sistema asia fund,Private Equity,128.8
2017-10-31,mse,Finance,Equity Stock Exchange,Mumbai,"il&fs, trust capital, rosy blue securities, radhakrishan damani and rakesh jhunjhunwala",Private Equity,294.4
2017-01-09,aahaa stores,eCommece,Online B2B store for office supplies,Chennai,yournest angel fund,Private Equity,9.2
2017-01-09,mfine,Consumer Internet,Online Doctor Discovery platform,Bengaluru,"stellaris venture partners, mayur abhaya, rohit ma",Private Equity,13.8
2017-01-09,canvera,Consumer Internet,Online Photography platform,Mumbai,infoedge,Private Equity,11.96
2017-04-09,primaryio,Technology,Application Performance Acceleration,Pune,"accel partners, exfinity ventures, partech ventures",Private Equity,51.52
2017-05-09,shubh loans,Consumer Internet,online lending platform,Bengaluru,"sri capital, beenext, pravega ventures",Private Equity,13.8
2017-05-09,nest education,Technology,EduTech Platform,Gurugram,"michael and susan dell foundation, anand mahindra",Seed Funding,5.52
2017-06-09,lending kart,Consumer Internet,Online Lending Platform,Ahmedabad,"bertelsmann india, mayfield capital, saama capital, darrin capital",Private Equity,98.9
2017-06-09,gofro,Consumer Internet,Online travel booking platform,New Delhi,"his co. ltd, makemytrip",Private Equity,92.0
2017-06-09,oncostem,Healthcare,Medical Diagnostic Solutions,Bengaluru,"sequoia capital india, artiman ventures",Private Equity,55.2
2017-06-09,power2sme,eCommerce,Buying Club for Small Businesses,Gurugram,"international finance corporation (ifc), inventus capital partners, accel partners, kalaari capital, and nandan nilekani,",Private Equity,239.2
2017-07-09,credit vidya,Consumer Internet,Online Credit scoring platform,Mumbai,matrix partners,Private Equity,46.0
2017-07-09,tails life,Consumer Internet,Pet care portal & mobile app,Bengaluru,v balakrishnan.,Private Equity,0.0
2017-07-09,oyo rooms,Consumer Internet,Branded budget hotels marketplace,Gurugram,"softbank group, sequoia capital india, lightspeed venture partners, greenoaks capital, hero enterprise",Private Equity,2300.0
2017-07-09,early salary,Consumer Internet,Online Unsecured Lending platform,Pune,ifmr capital,Debt Funding,7.176
2017-07-09,mamaearth,eCommerce,online babycare products marketplace,Gurugram,fireside ventures,Seed Funding,0.0
2017-07-09,seniority,eCommerce,Ecommerce portal for senior citizens,Pune,rpg enterprises,Private Equity,9.2
2017-08-09,aye finance,Consumer Internet,Micro Lending Platform,New Delhi,"triodos investment management,",Debt Funding,63.48
2017-08-09,farmizen,Technology,Agre-Tech Mobile app,Bengaluru,"venture highway, alok mittal, mohit agarwal, anuj gupta,",Seed Funding,0.0
2017-11-09,ecom express,Logistics,Logistics Solutions provider,New Delhi,warburg pincus,Private Equity,276.0
2017-11-09,call health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"sachin tendulkar, p.v sindhu, pullela gopichand",Private Equity,57.04
2017-12-09,sattviko,eCommerce,Health Food etailer,New Delhi,"raman roy, arvind uppal, sonu bhasin, g ravishankar",Seed Funding,0.0
2017-12-09,3hcare,Consumer Internet,Healthcare services portal,New Delhi,undisclosed investor,Seed Funding,0.92
2017-12-09,tonbo imaging,Technology,Imaging Technology for Armed Forces,Bengaluru,"wrv capital, qualcomm ventures, edelweiss private equity, artiman ventures",Private Equity,156.4
2017-12-09,get my parking,Consumer Internet,Smart Parking Enabler,New Delhi,"ian fund, beenext, indian angel network",Private Equity,27.6
2017-09-13,wittyfeed,Technology,Content marketing platform,Indore,"anand chandrasekaran, apurva chamaria, ritesh malik, ashish toshniwal, ajeet khurana",Seed Funding,0.0
2017-09-13,glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bengaluru,"accel partners,",Private Equity,18.4
2017-09-13,oyo rooms,Consumer Internet,udget hotel marketplace,Gurugram,china lodging group,Private Equity,92.0
2017-09-13,unacademy,Consumer Internet,Online learning platform,Mumbai,"sequoia capital india, saif partners, nexus venture partners and blume ventures,",Private Equity,105.8
2017-09-13,heterogenous,Technology,Telecom & IoT platform,Chennai,"chennai angels, keiretsu forum & others",Seed Funding,7.176
2017-09-14,gurukul,Consumer Internet,co-working space provider,New Delhi,"rohit nanda, rajit nanda, smarak bhuyan, sashwat brahma,",Seed Funding,0.0
2017-09-14,smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ecl finance,Private Equity,404.8
2017-09-14,wheelstreet,Consumer Portal,Bike Rental Platform,Bengaluru,y combinator,Seed Funding,1.104
2017-09-14,xprep,Consumer Internet,Online Tutoring Platform,New Delhi,"rising stars, manish amin, pallav pandey, chavi jafa",Private Equity,0.0
2017-09-18,the moms co,eCommerce,Pregnancy & Baby Care product etailer,Gurugram,"dsg consumer partners, saama capital",Private Equity,9.2
2017-09-19,noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bengaluru,"shamik sharma, aprameya radhakrishna",Seed Funding,0.0
2017-09-19,high radius,Technology,Integrated receivables software solutions,Hyderabad,susquehanna growth equity llc,Private Equity,460.0
2017-09-20,hwell24 plus,Healthcare,Technology-Empowered Healthcare Solutions,Mumbai,undisclosed investors,Seed Funding,0.0
2017-09-21,savebc,Finance,financial services firm,Gaya,incofin investment management.,Private Equity,55.2
2017-09-21,gaming monk,Consumer Internet,E-sports platform,New Delhi,advantedge,Private Equity,0.0
2017-09-21,91springboard,Consumer Internet,Co-working spaces,New Delhi,"sandway investment ltd, pearl brook holdings, silo holdings and al nour",Private Equity,0.0
2017-09-21,homergize,eCommerce,Home Furnishing & Building material marketplace,Bengaluru,lg chandrasekhar,Private Equity,9.2
2017-09-22,yatra,eCommerce,Online Travel Agency,Gurugram,innoven capital india,Debt Funding,141.68
2017-09-22,ace turtle,Technology,Omni-channel web commerce solutions provider,Bengaluru,innoven capital,Private Equity,0.0
2017-09-25,vogo,Consumer Internet,Scooter Rental Platform,Bengaluru,av thomas group,Seed Funding,0.0
2017-09-25,synup,Technology,SME Marketing Management Solution,Bengaluru,"vertex ventures, prime venture partners.",Private Equity,55.2
2017-09-25,tinmen,Consumer Internet,Food Delivery platform,Hyderabad,zomato media pvt. ltd,Private Equity,0.0
2017-09-25,cropin,Technology,Crop Technology Solutions,Bengaluru,beenext,Private Equity,0.0
2017-09-25,rapido,Consumer Internet,Bike Aggregator Mobile App,Bengaluru,battery road digital holdings llc,Seed Funding,3.8824
2017-09-25,sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,mehul shah,Seed Funding,1.38
2017-09-26,credifiable,Consumer Internet,Online consumer lending platform,Bengaluru,kae capital,Private Equity,0.0
2017-09-26,inclov,Consumer Internet,Matchmaking app for the differently abled,Gurugram,"rajan anandan, jamil khatri, ravi iyer, raghav bahl",Seed Funding,0.0
2017-09-26,multibhashi,Consumer Internet,Language learning Mobile App,Bengaluru,"aniruddha malpani, startup oasis",Seed Funding,0.0
2017-09-27,transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"il&fs investment managers, omidyar network.",Private Equity,14.72
2017-09-27,fashalot,Consumer Internet,O2O fashion discovery platform,Gurugram,"capillary technologies, whiteboard capital, yournest angel fund, rajul garg",Private Equity,0.0
2017-09-27,pitstop,Consumer Internet,Car repair and Servicing Platform,Bengaluru,"blume ventures, goldbell group, anurag srivastava, shailesh rao, amiya pathak, rajesh yohanan and rahul garg",Private Equity,9.2
2017-09-27,gochoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurugram,"rivergate capital,",Seed Funding,0.0
2017-09-27,myupchar,Consumer Internet,Local Language Health Information portal,New Delhi,letsventure,Seed Funding,2.76
2017-09-28,aadyah,Technology,Defense Tech & Aerospace startup,Bengaluru,keiretsu forum,Private Equity,9.2
2017-01-08,touchkin,Technology,Predictive Care Platform,Bengaluru,kae capital,Private Equity,11.96
2017-02-08,ethinos,Technology,Digital Marketing Agency,Mumbai,triton investment advisors,Private Equity,0.0
